Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
GMC,Sierra,PICKUP TRUCK - STANDARD,0.5866666666666667,0.38461538461538464,A6,X,0.4431818181818181,0.4457831325301205,0.4454545454545455,0.15517241379310348,0.539906103286385
VOLVO,S60 T6 AWD,COMPACT,0.14666666666666667,0.07692307692307693,AS8,Z,0.2537878787878788,0.2228915662650602,0.24090909090909096,0.32758620689655177,0.2934272300469484
GENESIS,G80 AWD,FULL-SIZE,0.3866666666666666,0.23076923076923078,AS8,X,0.3484848484848484,0.3373493975903613,0.3454545454545454,0.22413793103448276,0.4225352112676056
SCION,xB,STATION WAGON - SMALL,0.2,0.07692307692307693,M5,X,0.2537878787878788,0.27710843373493965,0.26363636363636367,0.3103448275862069,0.3098591549295775
CHRYSLER,200 FFV,MID-SIZE,0.2,0.07692307692307693,A9,E,0.36742424242424243,0.29518072289156627,0.3454545454545454,0.22413793103448276,0.22535211267605634
TOYOTA,RAV4 HYBRID AWD,SUV - SMALL,0.21333333333333332,0.07692307692307693,AV6,X,0.10227272727272729,0.2289156626506024,0.1454545454545455,0.4827586206896552,0.17605633802816903
GMC,SAVANA 1500 CARGO CONV,VAN - CARGO,0.5866666666666667,0.38461538461538464,A4,X,0.5454545454545454,0.5963855421686746,0.5636363636363637,0.10344827586206895,0.6666666666666666
CHRYSLER,200 AWD FFV,MID-SIZE,0.36,0.23076923076923078,A9,X,0.32575757575757575,0.24698795180722885,0.3,0.25862068965517243,0.352112676056338
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,0.41333333333333333,0.23076923076923078,M6,X,0.4015151515151515,0.4216867469879517,0.4090909090909091,0.1896551724137931,0.48122065727699526
MERCEDES-BENZ,GL 550 4MATIC,SUV - STANDARD,0.5066666666666667,0.38461538461538464,AS7,Z,0.5037878787878787,0.5542168674698794,0.5227272727272727,0.12068965517241381,0.6173708920187794
LEXUS,CT 200h,COMPACT,0.12,0.07692307692307693,AV,X,0.049242424242424254,0.11445783132530121,0.07272727272727275,0.6724137931034482,0.08450704225352115
SUBARU,WRX,COMPACT,0.14666666666666667,0.07692307692307693,AV8,Z,0.31439393939393934,0.3313253012048192,0.3227272727272727,0.24137931034482757,0.37089201877934275
FIAT,500L,STATION WAGON - SMALL,0.06666666666666665,0.07692307692307693,AM6,X,0.21590909090909088,0.19277108433734938,0.2090909090909091,0.3620689655172414,0.24413145539906103
LINCOLN,Continental AWD,FULL-SIZE,0.24000000000000005,0.23076923076923078,AS6,X,0.3712121212121212,0.3313253012048192,0.35909090909090907,0.22413793103448276,0.4342723004694835
FORD,FIESTA,SUBCOMPACT,0.09333333333333335,0.07692307692307693,AS6,X,0.17045454545454541,0.14457831325301204,0.15909090909090912,0.44827586206896547,0.18544600938967135
BMW,335i xDRIVE SEDAN,COMPACT,0.28,0.23076923076923078,AS8,Z,0.29166666666666663,0.2289156626506024,0.26818181818181824,0.29310344827586204,0.3145539906103286
HYUNDAI,Accent,COMPACT,0.09333333333333335,0.07692307692307693,AS6,X,0.1515151515151515,0.13253012048192772,0.1454545454545455,0.4827586206896552,0.1784037558685446
FORD,Escape,SUV - SMALL,0.08000000000000002,0.0,A8,X,0.16666666666666663,0.1867469879518072,0.17272727272727278,0.4310344827586207,0.20892018779342722
DODGE,CHARGER (MDS),FULL-SIZE,0.7333333333333334,0.38461538461538464,A8,Z,0.43181818181818177,0.3373493975903613,0.4000000000000001,0.1896551724137931,0.4835680751173709
SUBARU,XV CROSSTREK HYBRID AWD,SUV - SMALL,0.14666666666666667,0.07692307692307693,AV6,X,0.14015151515151514,0.17469879518072287,0.1545454545454546,0.46551724137931033,0.18075117370892022
HONDA,CIVIC COUPE,COMPACT,0.08000000000000002,0.07692307692307693,M6,X,0.13257575757575757,0.10240963855421689,0.12272727272727274,0.5344827586206897,0.1455399061032864
MAZDA,MAZDA3 4-DOOR,COMPACT,0.14666666666666667,0.07692307692307693,AS6,X,0.15909090909090906,0.14457831325301204,0.1545454545454546,0.46551724137931033,0.18779342723004697
MERCEDES-BENZ,AMG C 43 4MATIC,COMPACT,0.28,0.23076923076923078,A9,Z,0.28787878787878785,0.28915662650602403,0.28636363636363643,0.27586206896551724,0.3474178403755869
CHRYSLER,200 SEDAN,MID-SIZE,0.2,0.07692307692307693,A4,X,0.2651515151515151,0.24096385542168672,0.25909090909090915,0.3103448275862069,0.30281690140845063
LAND ROVER,Discovery,SUV - STANDARD,0.28,0.23076923076923078,AS8,Z,0.4015151515151515,0.4457831325301205,0.41818181818181827,0.1724137931034483,0.5046948356807511
BMW,M6,COMPACT,0.4666666666666667,0.38461538461538464,M6,Z,0.4507575757575758,0.4156626506024096,0.43636363636363634,0.1724137931034483,0.528169014084507
TOYOTA,COROLLA LE ECO (2-mode),MID-SIZE,0.12,0.07692307692307693,AV,X,0.14393939393939392,0.13855421686746985,0.14090909090909093,0.4827586206896552,0.16901408450704228
GMC,YUKON FFV,SUV - STANDARD,0.5866666666666667,0.38461538461538464,A6,X,0.41287878787878785,0.3855421686746987,0.4045454545454546,0.1896551724137931,0.49061032863849763
AUDI,Q3,COMPACT,0.14666666666666667,0.07692307692307693,AS6,Z,0.2803030303030303,0.25903614457831325,0.27272727272727276,0.29310344827586204,0.32863849765258213
RAM,1500 4X4 eTorque,PICKUP TRUCK - STANDARD,0.36,0.23076923076923078,A8,X,0.303030303030303,0.34337349397590355,0.3181818181818182,0.24137931034482757,0.38497652582159625
SUBARU,CROSSTREK AWD,SUV - SMALL,0.14666666666666667,0.07692307692307693,AV6,X,0.18560606060606055,0.19277108433734938,0.18636363636363634,0.396551724137931,0.2276995305164319
TOYOTA,COROLLA,MID-SIZE,0.12,0.07692307692307693,AV7,X,0.14015151515151514,0.12650602409638553,0.13636363636363635,0.5,0.1643192488262911
HONDA,HR-V,STATION WAGON - SMALL,0.12,0.07692307692307693,AV,X,0.15530303030303033,0.17469879518072287,0.1636363636363637,0.44827586206896547,0.19718309859154928
AUDI,A5 QUATTRO,SUBCOMPACT,0.14666666666666667,0.07692307692307693,M6,Z,0.24242424242424238,0.1987951807228915,0.2272727272727273,0.3448275862068965,0.26525821596244137
MITSUBISHI,LANCER,COMPACT,0.14666666666666667,0.07692307692307693,AV6,X,0.16666666666666663,0.16867469879518068,0.1681818181818182,0.4310344827586207,0.1995305164319249
CHEVROLET,Colorado 4WD,PICKUP TRUCK - SMALL,0.2533333333333333,0.07692307692307693,A6,D,0.303030303030303,0.2650602409638554,0.29090909090909095,0.27586206896551724,0.43896713615023475
GMC,Sierra,PICKUP TRUCK - STANDARD,0.24000000000000005,0.07692307692307693,A8,X,0.29166666666666663,0.37951807228915657,0.3181818181818182,0.24137931034482757,0.3896713615023474
MITSUBISHI,RVR,SUV - SMALL,0.14666666666666667,0.07692307692307693,M5,X,0.23106060606060608,0.253012048192771,0.23636363636363644,0.32758620689655177,0.2816901408450704
BMW,440i xDrive Cabriolet,SUBCOMPACT,0.28,0.23076923076923078,AS8,Z,0.31060606060606055,0.2710843373493975,0.3,0.25862068965517243,0.35915492957746475
PORSCHE,PANAMERA 4S EXECUTIVE,FULL-SIZE,0.26666666666666666,0.23076923076923078,AM8,Z,0.2689393939393939,0.2710843373493975,0.27272727272727276,0.29310344827586204,0.3262910798122065
JEEP,COMPASS,SUV - SMALL,0.14666666666666667,0.07692307692307693,AV,X,0.24621212121212116,0.28915662650602403,0.26363636363636367,0.3103448275862069,0.3098591549295775
AUDI,S5,SUBCOMPACT,0.28,0.23076923076923078,M6,Z,0.3939393939393939,0.3493975903614458,0.37727272727272737,0.20689655172413796,0.4436619718309859
